Date,Open,High,Low,Last,Close,Volume,Turnover
2000-01-03,236,243.65,234.25,243.65,243.65,2373228,5.71534E+13
2000-01-04,243.65,262,238.85,258,259.1,4495741,1.13051E+14
2000-01-05,249,264.7,245,249.05,248.45,3434058,8.66601E+13
2000-01-06,252,268,252,260.5,261,6658801,1.74582E+14
2000-01-07,261.5,279.9,255,279,273.3,7873985,2.11829E+14
2000-01-10,280,289.85,265.2,266,269.5,5519316,1.54425E+14
2000-01-11,266.8,267,247.95,247.95,247.95,2427606,6.18219E+13
2000-01-12,244,251.5,236.6,244,244.75,2805072,6.83616E+13
2000-01-13,246,255.6,243.1,243.15,244.5,3226776,8.06835E+13
2000-01-14,245,245,238.1,239.05,239.2,1506543,3.62406E+13
2000-01-17,244.4,251,232.3,236.1,235.9,4385887,1.05359E+14
2000-01-18,236.9,241,233.75,236.5,236.45,2706614,6.43074E+13
2000-01-19,240.9,247.5,240,243,243.95,2511949,6.14508E+13
2000-01-20,243,244.8,236.25,237.9,237.7,1158464,2.78738E+13
2000-01-21,238.75,239.75,235.5,237,237.45,1178627,2.79996E+13
2000-01-24,236.65,240.35,227.1,228.1,228.3,1855636,4.35836E+13
2000-01-25,226,227.9,222.6,225.5,224.85,2226513,5.01233E+13
2000-01-27,229,235.5,228,230.8,230.15,2000745,4.6439E+13
2000-01-28,232.7,248.6,232.7,248.6,248.5,4978231,1.22105E+14
2000-01-31,246,256.75,242.5,242.95,244.7,4829071,1.213E+14
2000-02-01,245,250.7,242.75,250,246.5,2196468,5.39759E+13
2000-02-02,257,258.7,246,246.9,247.5,2328315,5.8745E+13
2000-02-03,250,264.9,248.6,257.85,258.8,7332794,1.89568E+14
2000-02-04,260,264.75,254.5,256.5,255.9,3206295,8.32489E+13
2000-02-07,258.7,258.7,243.6,245.5,247.4,2058676,5.18062E+13
2000-02-08,247,248.5,240.8,242.5,242.3,2398279,5.8756E+13
2000-02-09,254,254,243.15,244,245.4,1411153,3.50238E+13
2000-02-10,242.2,250.95,242.2,248.6,248.8,1843760,4.56621E+13
